,Date,State,Confirmed
160,2020-03-15,Uttar Pradesh,13
161,2020-03-15,Uttarakhand,1
162,2020-03-16,Andhra Pradesh,1
163,2020-03-16,Delhi,7
164,2020-03-16,Haryana,14
165,2020-03-16,Karnataka,6
166,2020-03-16,Kerala,23
167,2020-03-16,Maharashtra,32
168,2020-03-16,Odisha,1
169,2020-03-16,Punjab,1
170,2020-03-16,Rajasthan,4
171,2020-03-16,Tamil Nadu,1
172,2020-03-16,Telangana,3
173,2020-03-16,Jammu and Kashmir,3
174,2020-03-16,Ladakh,4
175,2020-03-16,Uttar Pradesh,13
176,2020-03-16,Uttarakhand,1
177,2020-03-17,Andhra Pradesh,1
178,2020-03-17,Delhi,8
179,2020-03-17,Haryana,15
180,2020-03-17,Karnataka,11
181,2020-03-17,Kerala,26
182,2020-03-17,Maharashtra,39
183,2020-03-17,Odisha,1
184,2020-03-17,Punjab,1
185,2020-03-17,Rajasthan,4
186,2020-03-17,Tamil Nadu,1
187,2020-03-17,Telangana,5
188,2020-03-17,Jammu and Kashmir,3
189,2020-03-17,Ladakh,6
190,2020-03-17,Uttar Pradesh,15
191,2020-03-17,Uttarakhand,1
192,2020-03-18,Andhra Pradesh,1
193,2020-03-18,Delhi,10
194,2020-03-18,Haryana,17
195,2020-03-18,Karnataka,11
196,2020-03-18,Kerala,27
197,2020-03-18,Maharashtra,42
198,2020-03-18,Odisha,1
199,2020-03-18,Puducherry,1
200,2020-03-18,Punjab,1
201,2020-03-18,Rajasthan,4
202,2020-03-18,Tamil Nadu,1
203,2020-03-18,Telangana,6
204,2020-03-18,Jammu and Kashmir,3
205,2020-03-18,Ladakh,8
206,2020-03-18,Uttar Pradesh,16
207,2020-03-18,Uttarakhand,1
208,2020-03-18,West Bengal,1
209,2020-03-19,Andhra Pradesh,2
210,2020-03-19,Chhattisgarh,1
211,2020-03-19,Delhi,12
212,2020-03-19,Haryana,17
213,2020-03-19,Karnataka,14
214,2020-03-19,Kerala,27
215,2020-03-19,Maharashtra,47
216,2020-03-19,Odisha,1
217,2020-03-19,Puducherry,1
218,2020-03-19,Punjab,2
219,2020-03-19,Rajasthan,7
220,2020-03-19,Tamil Nadu,2
221,2020-03-19,Telangana,6
222,2020-03-19,Chandigarh,1
223,2020-03-19,Jammu and Kashmir,4
224,2020-03-19,Ladakh,8
225,2020-03-19,Uttar Pradesh,19
226,2020-03-19,Uttarakhand,1
227,2020-03-19,West Bengal,1
228,2020-03-20,Andhra Pradesh,3
229,2020-03-20,Chhattisgarh,1
230,2020-03-20,Delhi,17
231,2020-03-20,Gujarat,5
232,2020-03-20,Haryana,17
233,2020-03-20,Karnataka,15
234,2020-03-20,Kerala,28
235,2020-03-20,Maharashtra,52
236,2020-03-20,Odisha,2
